,id,carat,x,y,z,price,cut_encoded,color_encoded,clarity_encoded
0,0,-1.1275422803532562,-1.2668819505329303,-1.3043455568846072,-1.2414174648084577,6.353,3,0,3
1,1,0.6697580496059876,0.6178313539796731,0.656210715648545,0.7295452741723483,9.183,2,1,7
2,2,-0.06435053587032336,-0.016361274553003728,0.008687543068788462,0.00492662013528717,7.983,2,2,5
3,3,0.8469566736864765,0.7250188404922383,0.6921842252363093,0.8454842588182782,8.371,4,3,3
4,4,-0.975657745427123,-1.0971684302213685,-1.0615243671671988,-1.038524241678081,6.588,3,3,4
5,5,-0.5453182298030786,-0.48977267331683316,-0.4769548363660292,-0.5023064376906557,7.496,2,2,4
6,6,2.5176865578739425,1.7522322529043208,1.7084358710906498,1.772996135985716,8.979,3,4,2
7,7,-1.0516000128901897,-1.070371558593227,-1.052530989770258,-1.183447972485493,6.877,2,1,7
8,8,-1.0769141020445452,-1.2222204978193607,-1.205418405518256,-1.1399708532432695,6.554,4,1,5
9,9,-1.2034845478163227,-1.4008663086736362,-1.4482395952356644,-1.4153259417773527,6.683,2,1,7
10,10,-0.2921773382595232,-0.1860747948645655,-0.13520649528226875,-0.21245897607583103,7.484,2,0,2
11,11,-1.1022281911989007,-1.2400850789047888,-1.2234051603121379,-1.2559098378891993,6.353,2,3,5
12,12,-0.5453182298030786,-0.47190809223140523,-0.5219217233507344,-0.4733216915291733,7.554,2,2,4
13,13,-0.11497871417903449,-0.052090436723858796,-0.009299211725094089,0.00492662013528717,7.671,4,4,4
14,14,-0.01372235756161222,-0.016361274553003728,0.026674297862670213,0.06289611245825211,7.794,4,4,2
15,15,1.378552545927943,1.0376490094872195,1.0788994533047749,1.1643164665945847,8.727,4,5,5
16,16,-0.08966462502467892,-0.016361274553003728,0.026674297862670213,0.03391136629676964,8.087,2,0,2
17,17,-1.0769141020445452,-1.2043559167339337,-1.1874316507243734,-1.1544632263240104,6.23,2,3,2
18,18,-0.5706323189574342,-0.48977267331683316,-0.4589680815721474,-0.4878140646099142,7.451,2,3,4
